time,oxygen,well,count,conc,a,b,c
,,,,0,100023,99630,117466
,,,,1.5625,731194,775464,825504
,,,,3.125,1395378,1462164,1484857
,,,,6.25,2774419,2883230,2855310
,,,,12.5,5011716,5057544,5370837
,,,,25,10003761,10593335,10526353
,,,,50,19982702,20567352,20408952
,,,,100,50093072,42227812,43421408
0,21%,x,39500,,3746049,3963238,5296623
0,21%,y,41900,,3762959,5289471,5322324
0,21%,z,61800,,4818198,3307016,3385973
24,21%,x,76500,,8832078,7165636,7838024
24,21%,y,54300,,7102938,6049208,7498482
24,21%,z,83900,,6851540,6144662,7289682
48,21%,x,148000,,17550578,20941840,16309964
48,21%,y,141000,,17794652,18215062,19401646
48,21%,z,178000,,19975404,18749010,19450444
72,21%,x,244000,,30533944,29784430,28016916
72,21%,y,281000,,24109580,26262018,30003204
72,21%,z,234000,,29556054,30665628,27680124
0,0.5%,x,22200,,1938985,2104995,2736281
0,0.5%,y,41900,,2180485,7638395,4308204
0,0.5%,z,29600,,2563226,2189289,3186432
24,0.5%,x,25600,,3918757,3873930,3278445
24,0.5%,y,24700,,4649234,5130273,6231838
24,0.5%,z,24700,,4514533,3584496,3466150
48,0.5%,x,44400,,5935132,5712651,7043050
48,0.5%,y,64100,,5911639,5504570,4958200
48,0.5%,z,39500,,4354420,5329176,6397456
72,0.5%,x,116000,,10554642,11790459,8440363
72,0.5%,y,78900,,10997657,7707694,10537271
72,0.5%,z,64100,,10374067,8850941,9049838
